"Vehicle Type","Category","Brand","Model","Perfect Title","Optimized Description","Target URL Slug"
"2W","Mats","Aprilia","Aprilia","Custom Aprilia Aprilia Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your Aprilia Aprilia floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","aprilia-aprilia-mats"
"2W","Mats","Ather","Ather","Custom Ather Ather Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your Ather Ather floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","ather-ather-mats"
"2W","Mats","Ather","ATHER PLUS","Custom Ather ATHER PLUS Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your Ather ATHER PLUS floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","ather-ather-plus-mats"
"2W","Mats","BIG WING","BIG WING","Custom BIG WING BIG WING Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your BIG WING BIG WING floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","big-wing-big-wing-mats"
"2W","Mats","BIG WING","Hness","Custom BIG WING Hness Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your BIG WING Hness floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","big-wing-hness-mats"
"2W","Mats","BIG WING","HONDA CB 350 DUAL SEAT","Custom BIG WING HONDA CB 350 DUAL SEAT Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your BIG WING HONDA CB 350 DUAL SEAT floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","big-wing-honda-cb-350-dual-seat-mats"
"2W","Mats","BIG WING","HONDA CB 350 RS SINGLE SEAT","Custom BIG WING HONDA CB 350 RS SINGLE SEAT Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your BIG WING HONDA CB 350 RS SINGLE SEAT floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","big-wing-honda-cb-350-rs-single-seat-mats"
"2W","Mats","Bajaj","AVENGER 160","Custom Bajaj AVENGER 160 Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your Bajaj AVENGER 160 floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","bajaj-avenger-160-mats"
"2W","Mats","Bajaj","AVENGER 160 PLUS","Custom Bajaj AVENGER 160 PLUS Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your Bajaj AVENGER 160 PLUS floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","bajaj-avenger-160-plus-mats"
"2W","Mats","Bajaj","AVENGER 220","Custom Bajaj AVENGER 220 Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your Bajaj AVENGER 220 floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","bajaj-avenger-220-mats"
"2W","Mats","Bajaj","AVENGER 220 PLUS","Custom Bajaj AVENGER 220 PLUS Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your Bajaj AVENGER 220 PLUS floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","bajaj-avenger-220-plus-mats"
"2W","Mats","Bajaj","BAJAJ","Custom Bajaj BAJAJ Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your Bajaj BAJAJ floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","bajaj-bajaj-mats"
"2W","Mats","Bajaj","Bajaj CT 100","Custom Bajaj Bajaj CT 100 Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your Bajaj Bajaj CT 100 floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","bajaj-bajaj-ct-100-mats"
